CompanyName,Year,Quarter,ScenarioName,CapExCategory,CapExItem,CapExAmount
Company A,2023,Q1,Budget,Production Equipment,Machinery,7000
Company A,2023,Q2,Budget,Production Equipment,Machinery,7000
Company A,2023,Q3,Budget,Production Equipment,Machinery,7000
Company A,2023,Q4,Budget,Production Equipment,Machinery,4000
Company A,2024,Q1,Budget,Production Equipment,Machinery,4000
Company A,2024,Q2,Budget,Production Equipment,Machinery,4000
Company A,2024,Q3,Budget,Production Equipment,Machinery,4000
Company A,2024,Q4,Budget,Production Equipment,Machinery,1000
Company A,2025,Q1,Budget,Production Equipment,Machinery,1000
Company A,2025,Q2,Budget,Production Equipment,Machinery,1000
Company A,2025,Q3,Budget,Production Equipment,Machinery,1000
Company A,2025,Q4,Budget,Production Equipment,Machinery,1000
Company A,2023,Q1,Budget,Production Equipment,Tools,1000
Company A,2023,Q2,Budget,Production Equipment,Tools,1000
Company A,2023,Q3,Budget,Production Equipment,Tools,1000
Company A,2023,Q4,Budget,Production Equipment,Tools,4000
Company A,2024,Q1,Budget,Production Equipment,Tools,4000
Company A,2024,Q2,Budget,Production Equipment,Tools,4000
Company A,2024,Q3,Budget,Production Equipment,Tools,4000
Company A,2024,Q4,Budget,Production Equipment,Tools,1000
Company A,2025,Q1,Budget,Production Equipment,Tools,1000
Company A,2025,Q2,Budget,Production Equipment,Tools,1000
Company A,2025,Q3,Budget,Production Equipment,Tools,1000
Company A,2025,Q4,Budget,Production Equipment,Tools,1000
Company A,2023,Q1,Budget,Infrastructure,Building,4000
Company A,2023,Q2,Budget,Infrastructure,Building,4000
Company A,2023,Q3,Budget,Infrastructure,Building,4000
Company A,2023,Q4,Budget,Infrastructure,Building,40000
Company A,2024,Q1,Budget,Infrastructure,Building,40000
Company A,2024,Q2,Budget,Infrastructure,Building,40000
Company A,2024,Q3,Budget,Infrastructure,Building,40000
Company A,2024,Q4,Budget,Infrastructure,Building,6000
Company A,2025,Q1,Budget,Infrastructure,Building,6000
Company A,2025,Q2,Budget,Infrastructure,Building,6000
Company A,2025,Q3,Budget,Infrastructure,Building,6000
Company A,2025,Q4,Budget,Infrastructure,Building,6000
Company A,2023,Q1,Budget,IT,Hardware,1000
Company A,2023,Q2,Budget,IT,Hardware,1000
Company A,2023,Q3,Budget,IT,Hardware,1000
Company A,2023,Q4,Budget,IT,Hardware,2000
Company A,2024,Q1,Budget,IT,Hardware,2000
Company A,2024,Q2,Budget,IT,Hardware,2000
Company A,2024,Q3,Budget,IT,Hardware,2000
Company A,2024,Q4,Budget,IT,Hardware,2000
Company A,2025,Q1,Budget,IT,Hardware,2000
Company A,2025,Q2,Budget,IT,Hardware,2000
Company A,2025,Q3,Budget,IT,Hardware,2000
Company A,2025,Q4,Budget,IT,Hardware,2000
Company A,2023,Q1,Budget,Other,Other CapEx,1000
Company A,2023,Q2,Budget,Other,Other CapEx,1000
Company A,2023,Q3,Budget,Other,Other CapEx,1000
Company A,2023,Q4,Budget,Other,Other CapEx,2000
Company A,2024,Q1,Budget,Other,Other CapEx,2000
Company A,2024,Q2,Budget,Other,Other CapEx,2000
Company A,2024,Q3,Budget,Other,Other CapEx,2000
Company A,2024,Q4,Budget,Other,Other CapEx,4000
Company A,2025,Q1,Budget,Other,Other CapEx,4000
Company A,2025,Q2,Budget,Other,Other CapEx,4000
Company A,2025,Q3,Budget,Other,Other CapEx,4000
Company A,2025,Q4,Budget,Other,Other CapEx,4000
