CompanyName,Year,Quarter,ScenarioName,IndicatorName,Amount
Company A,2023,Q1,Actual,Opening Cash Balance,9007.353984
Company A,2023,Q2,Actual,Opening Cash Balance,970.1140126
Company A,2023,Q3,Actual,Opening Cash Balance,69128.3789
Company A,2023,Q4,Actual,Opening Cash Balance,61973.06668
Company A,2024,Q1,Actual,Opening Cash Balance,3377.119896
Company A,2024,Q2,Actual,Opening Cash Balance,3199.722475
Company A,2024,Q3,Actual,Opening Cash Balance,36410.41129
Company A,2024,Q4,Actual,Opening Cash Balance,9217.393036
Company A,2025,Q1,Actual,Opening Cash Balance,49978.59945
Company A,2025,Q2,Actual,Opening Cash Balance,32938.5891
Company A,2025,Q3,Actual,Opening Cash Balance,51467.687
Company A,2025,Q4,Actual,Opening Cash Balance,106260.3687
Company A,2023,Q1,Actual,Revenue (excl. VAT),244562.4987
Company A,2023,Q2,Actual,Revenue (excl. VAT),321836.1165
Company A,2023,Q3,Actual,Revenue (excl. VAT),251700.5841
Company A,2023,Q4,Actual,Revenue (excl. VAT),216272.405
Company A,2024,Q1,Actual,Revenue (excl. VAT),288852.4484
Company A,2024,Q2,Actual,Revenue (excl. VAT),319230.1996
Company A,2024,Q3,Actual,Revenue (excl. VAT),276102.0046
Company A,2024,Q4,Actual,Revenue (excl. VAT),202930.225
Company A,2025,Q1,Actual,Revenue (excl. VAT),325847.183
Company A,2025,Q2,Actual,Revenue (excl. VAT),438334.634
Company A,2025,Q3,Actual,Revenue (excl. VAT),285642.5716
Company A,2025,Q4,Actual,Revenue (excl. VAT),257525.8384
Company A,2023,Q1,Actual,COGS (excl. VAT),168385.5068
Company A,2023,Q2,Actual,COGS (excl. VAT),211331.0042
Company A,2023,Q3,Actual,COGS (excl. VAT),160344.729
Company A,2023,Q4,Actual,COGS (excl. VAT),144339.0602
Company A,2024,Q1,Actual,COGS (excl. VAT),191698.5019
Company A,2024,Q2,Actual,COGS (excl. VAT),211024.6055
Company A,2024,Q3,Actual,COGS (excl. VAT),189879.1008
Company A,2024,Q4,Actual,COGS (excl. VAT),112030.2381
Company A,2025,Q1,Actual,COGS (excl. VAT),205839.8149
Company A,2025,Q2,Actual,COGS (excl. VAT),289710.1556
Company A,2025,Q3,Actual,COGS (excl. VAT),188660.3239
Company A,2025,Q4,Actual,COGS (excl. VAT),159476.1568
Company A,2023,Q1,Actual,Gross Profit,76176.99185
Company A,2023,Q2,Actual,Gross Profit,110505.1123
Company A,2023,Q3,Actual,Gross Profit,91355.8551
Company A,2023,Q4,Actual,Gross Profit,71933.34474
Company A,2024,Q1,Actual,Gross Profit,97153.94649
Company A,2024,Q2,Actual,Gross Profit,108205.5941
Company A,2024,Q3,Actual,Gross Profit,86222.9038
Company A,2024,Q4,Actual,Gross Profit,90899.98694
Company A,2025,Q1,Actual,Gross Profit,120007.368
Company A,2025,Q2,Actual,Gross Profit,148624.4784
Company A,2025,Q3,Actual,Gross Profit,96982.24764
Company A,2025,Q4,Actual,Gross Profit,98049.68165
Company A,2023,Q1,Actual,Other Operating Income,7124.771644
Company A,2023,Q2,Actual,Other Operating Income,7284.96048
Company A,2023,Q3,Actual,Other Operating Income,12710.12818
Company A,2023,Q4,Actual,Other Operating Income,15390.55945
Company A,2024,Q1,Actual,Other Operating Income,29039.31501
Company A,2024,Q2,Actual,Other Operating Income,7776.383569
Company A,2024,Q3,Actual,Other Operating Income,13914.01675
Company A,2024,Q4,Actual,Other Operating Income,48525.17742
Company A,2025,Q1,Actual,Other Operating Income,19263.81327
Company A,2025,Q2,Actual,Other Operating Income,13773.09031
Company A,2025,Q3,Actual,Other Operating Income,11387.52708
Company A,2025,Q4,Actual,Other Operating Income,14025.0183
Company A,2023,Q1,Actual,Administrative Expenses,5077.403947
Company A,2023,Q2,Actual,Administrative Expenses,5292.059843
Company A,2023,Q3,Actual,Administrative Expenses,5445.885424
Company A,2023,Q4,Actual,Administrative Expenses,5947.981764
Company A,2024,Q1,Actual,Administrative Expenses,6276.193638
Company A,2024,Q2,Actual,Administrative Expenses,6158.1913
Company A,2024,Q3,Actual,Administrative Expenses,6262.914822
Company A,2024,Q4,Actual,Administrative Expenses,6849.63074
Company A,2025,Q1,Actual,Administrative Expenses,6976.564941
Company A,2025,Q2,Actual,Administrative Expenses,7389.38937
Company A,2025,Q3,Actual,Administrative Expenses,7633.535489
