CompanyName,Year,Quarter,ScenarioName,DebtMetricName,DebtMatricValue
Company A,2023,Q1,Budget,Opening Loan Balance,0
Company A,2023,Q2,Budget,Opening Loan Balance,0
Company A,2023,Q3,Budget,Opening Loan Balance,0
Company A,2023,Q4,Budget,Opening Loan Balance,0
Company A,2024,Q1,Budget,Opening Loan Balance,0
Company A,2024,Q2,Budget,Opening Loan Balance,7000
Company A,2024,Q3,Budget,Opening Loan Balance,17000
Company A,2024,Q4,Budget,Opening Loan Balance,53000
Company A,2025,Q1,Budget,Opening Loan Balance,48000
Company A,2025,Q2,Budget,Opening Loan Balance,0
Company A,2025,Q3,Budget,Opening Loan Balance,0
Company A,2025,Q4,Budget,Opening Loan Balance,0
Company A,2023,Q1,Budget,Loan Drawdown,0
Company A,2023,Q2,Budget,Loan Drawdown,0
Company A,2023,Q3,Budget,Loan Drawdown,0
Company A,2023,Q4,Budget,Loan Drawdown,0
Company A,2024,Q1,Budget,Loan Drawdown,7000
Company A,2024,Q2,Budget,Loan Drawdown,10000
Company A,2024,Q3,Budget,Loan Drawdown,36000
Company A,2024,Q4,Budget,Loan Drawdown,0
Company A,2025,Q1,Budget,Loan Drawdown,0
Company A,2025,Q2,Budget,Loan Drawdown,0
Company A,2025,Q3,Budget,Loan Drawdown,0
Company A,2025,Q4,Budget,Loan Drawdown,0
Company A,2023,Q1,Budget,Loan Repayment,0
Company A,2023,Q2,Budget,Loan Repayment,0
Company A,2023,Q3,Budget,Loan Repayment,0
Company A,2023,Q4,Budget,Loan Repayment,0
Company A,2024,Q1,Budget,Loan Repayment,0
Company A,2024,Q2,Budget,Loan Repayment,0
Company A,2024,Q3,Budget,Loan Repayment,0
Company A,2024,Q4,Budget,Loan Repayment,5000
Company A,2025,Q1,Budget,Loan Repayment,48000
Company A,2025,Q2,Budget,Loan Repayment,0
Company A,2025,Q3,Budget,Loan Repayment,0
Company A,2025,Q4,Budget,Loan Repayment,0
Company A,2023,Q1,Budget,Closing Loan Balance,0
Company A,2023,Q2,Budget,Closing Loan Balance,0
Company A,2023,Q3,Budget,Closing Loan Balance,0
Company A,2023,Q4,Budget,Closing Loan Balance,0
Company A,2024,Q1,Budget,Closing Loan Balance,7000
Company A,2024,Q2,Budget,Closing Loan Balance,17000
Company A,2024,Q3,Budget,Closing Loan Balance,53000
Company A,2024,Q4,Budget,Closing Loan Balance,48000
Company A,2025,Q1,Budget,Closing Loan Balance,0
Company A,2025,Q2,Budget,Closing Loan Balance,0
Company A,2025,Q3,Budget,Closing Loan Balance,0
Company A,2025,Q4,Budget,Closing Loan Balance,0
Company A,2023,Q1,Budget,Interest Rate,0.19
Company A,2023,Q2,Budget,Interest Rate,0.19
Company A,2023,Q3,Budget,Interest Rate,0.19
Company A,2023,Q4,Budget,Interest Rate,0.19
Company A,2024,Q1,Budget,Interest Rate,0.19
Company A,2024,Q2,Budget,Interest Rate,0.19
Company A,2024,Q3,Budget,Interest Rate,0.19
Company A,2024,Q4,Budget,Interest Rate,0.19
Company A,2025,Q1,Budget,Interest Rate,0.19
Company A,2025,Q2,Budget,Interest Rate,0.19
Company A,2025,Q3,Budget,Interest Rate,0.19
Company A,2025,Q4,Budget,Interest Rate,0.19
Company A,2023,Q1,Budget,Interest Expense,0
Company A,2023,Q2,Budget,Interest Expense,0
Company A,2023,Q3,Budget,Interest Expense,0
Company A,2023,Q4,Budget,Interest Expense,0
Company A,2024,Q1,Budget,Interest Expense,665
Company A,2024,Q2,Budget,Interest Expense,2280
Company A,2024,Q3,Budget,Interest Expense,6650
Company A,2024,Q4,Budget,Interest Expense,9595
Company A,2025,Q1,Budget,Interest Expense,4560
Company A,2025,Q2,Budget,Interest Expense,0
Company A,2025,Q3,Budget,Interest Expense,0
Company A,2025,Q4,Budget,Interest Expense,0
