CompanyName,Year,Quarter,ScenarioName,OPEXCategoryName,OPEXSubcategoryName,OPEXAmount
Company A,2023,Q1,Actual,Administrative Expenses,Salaries,1259.611992
Company A,2023,Q2,Actual,Administrative Expenses,Salaries,1303.338448
Company A,2023,Q3,Actual,Administrative Expenses,Salaries,1354.427433
Company A,2023,Q4,Actual,Administrative Expenses,Salaries,1391.92106
Company A,2024,Q1,Actual,Administrative Expenses,Salaries,1435.103165
Company A,2024,Q2,Actual,Administrative Expenses,Salaries,1476.201914
Company A,2024,Q3,Actual,Administrative Expenses,Salaries,1533.18351
Company A,2024,Q4,Actual,Administrative Expenses,Salaries,1579.914571
Company A,2025,Q1,Actual,Administrative Expenses,Salaries,1625.482413
Company A,2025,Q2,Actual,Administrative Expenses,Salaries,1669.108572
Company A,2025,Q3,Actual,Administrative Expenses,Salaries,1719.208303
Company A,2025,Q4,Actual,Administrative Expenses,Salaries,1770.419633
Company A,2023,Q1,Actual,Administrative Expenses,Bonuses,261.0324318
Company A,2023,Q2,Actual,Administrative Expenses,Bonuses,265.4997471
Company A,2023,Q3,Actual,Administrative Expenses,Bonuses,284.0017774
Company A,2023,Q4,Actual,Administrative Expenses,Bonuses,269.908443
Company A,2024,Q1,Actual,Administrative Expenses,Bonuses,269.2051243
Company A,2024,Q2,Actual,Administrative Expenses,Bonuses,268.8717196
Company A,2024,Q3,Actual,Administrative Expenses,Bonuses,261.2096303
Company A,2024,Q4,Actual,Administrative Expenses,Bonuses,249.0759953
Company A,2025,Q1,Actual,Administrative Expenses,Bonuses,280.725254
Company A,2025,Q2,Actual,Administrative Expenses,Bonuses,287.8338945
Company A,2025,Q3,Actual,Administrative Expenses,Bonuses,281.5181321
Company A,2025,Q4,Actual,Administrative Expenses,Bonuses,318.7754534
Company A,2023,Q1,Actual,Administrative Expenses,Utilities,3045.129728
Company A,2023,Q2,Actual,Administrative Expenses,Utilities,3090.547943
Company A,2023,Q3,Actual,Administrative Expenses,Utilities,3552.521378
Company A,2023,Q4,Actual,Administrative Expenses,Utilities,3831.033459
Company A,2024,Q1,Actual,Administrative Expenses,Utilities,4334.56633
Company A,2024,Q2,Actual,Administrative Expenses,Utilities,4463.846076
Company A,2024,Q3,Actual,Administrative Expenses,Utilities,4545.656265
Company A,2024,Q4,Actual,Administrative Expenses,Utilities,4853.04153
Company A,2025,Q1,Actual,Administrative Expenses,Utilities,5220.114474
Company A,2025,Q2,Actual,Administrative Expenses,Utilities,5802.208172
Company A,2025,Q3,Actual,Administrative Expenses,Utilities,6133.331847
Company A,2025,Q4,Actual,Administrative Expenses,Utilities,6888.598962
Company A,2023,Q1,Actual,Administrative Expenses,Internet & Comunication,128.8297535
Company A,2023,Q2,Actual,Administrative Expenses,Internet & Comunication,134.6743976
Company A,2023,Q3,Actual,Administrative Expenses,Internet & Comunication,139.5392064
Company A,2023,Q4,Actual,Administrative Expenses,Internet & Comunication,142.34561
Company A,2024,Q1,Actual,Administrative Expenses,Internet & Comunication,144.029601
Company A,2024,Q2,Actual,Administrative Expenses,Internet & Comunication,147.3162177
Company A,2024,Q3,Actual,Administrative Expenses,Internet & Comunication,149.0527378
Company A,2024,Q4,Actual,Administrative Expenses,Internet & Comunication,155.5836265
Company A,2025,Q1,Actual,Administrative Expenses,Internet & Comunication,158.7910898
Company A,2025,Q2,Actual,Administrative Expenses,Internet & Comunication,160.5521975
Company A,2025,Q3,Actual,Administrative Expenses,Internet & Comunication,168.2876953
Company A,2025,Q4,Actual,Administrative Expenses,Internet & Comunication,170.2083102
Company A,2023,Q1,Actual,Administrative Expenses,IT Servise,466.7477378
Company A,2023,Q2,Actual,Administrative Expenses,IT Servise,479.1085246
Company A,2023,Q3,Actual,Administrative Expenses,IT Servise,492.5336811
Company A,2023,Q4,Actual,Administrative Expenses,IT Servise,515.175487
Company A,2024,Q1,Actual,Administrative Expenses,IT Servise,528.7793161
Company A,2024,Q2,Actual,Administrative Expenses,IT Servise,544.8411592
Company A,2024,Q3,Actual,Administrative Expenses,IT Servise,556.0415507
Company A,2024,Q4,Actual,Administrative Expenses,IT Servise,571.8640257
Company A,2025,Q1,Actual,Administrative Expenses,IT Servise,590.2395396
Company A,2025,Q2,Actual,Administrative Expenses,IT Servise,617.6334723
Company A,2025,Q3,Actual,Administrative Expenses,IT Servise,625.7608346
Company A,2025,Q4,Actual,Administrative Expenses,IT Servise,649.4394435
Company A,2023,Q1,Actual,Administrative Expenses,Insurance,64.12
Company A,2023,Q2,Actual,Administrative Expenses,Insurance,64.12
Company A,2023,Q3,Actual,Administrative Expenses,Insurance,64.12
Company A,2023,Q4,Actual,Administrative Expenses,Insurance,64.12
Company A,2024,Q1,Actual,Administrative Expenses,Insurance,64.12
Company A,2024,Q2,Actual,Administrative Expenses,Insurance,64.12
Company A,2024,Q3,Actual,Administrative Expenses,Insurance,64.12
Company A,2024,Q4,Actual,Administrative Expenses,Insurance,64.12
Company A,2025,Q1,Actual,Administrative Expenses,Insurance,64.12
