CompanyName,Year,Quarter,ScenarioName,OPEXCategoryName,OPEXSubcategoryName,OPEXAmount
Company A,2023,Q1,Budget,Administrative Expenses,Salaries,1250
Company A,2023,Q2,Budget,Administrative Expenses,Salaries,1250
Company A,2023,Q3,Budget,Administrative Expenses,Salaries,1250
Company A,2023,Q4,Budget,Administrative Expenses,Salaries,1250
Company A,2024,Q1,Budget,Administrative Expenses,Salaries,1400
Company A,2024,Q2,Budget,Administrative Expenses,Salaries,1400
Company A,2024,Q3,Budget,Administrative Expenses,Salaries,1400
Company A,2024,Q4,Budget,Administrative Expenses,Salaries,1400
Company A,2025,Q1,Budget,Administrative Expenses,Salaries,1700
Company A,2025,Q2,Budget,Administrative Expenses,Salaries,1700
Company A,2025,Q3,Budget,Administrative Expenses,Salaries,1700
Company A,2025,Q4,Budget,Administrative Expenses,Salaries,1700
Company A,2023,Q1,Budget,Administrative Expenses,Bonuses,240
Company A,2023,Q2,Budget,Administrative Expenses,Bonuses,240
Company A,2023,Q3,Budget,Administrative Expenses,Bonuses,240
Company A,2023,Q4,Budget,Administrative Expenses,Bonuses,240
Company A,2024,Q1,Budget,Administrative Expenses,Bonuses,270
Company A,2024,Q2,Budget,Administrative Expenses,Bonuses,270
Company A,2024,Q3,Budget,Administrative Expenses,Bonuses,270
Company A,2024,Q4,Budget,Administrative Expenses,Bonuses,270
Company A,2025,Q1,Budget,Administrative Expenses,Bonuses,270
Company A,2025,Q2,Budget,Administrative Expenses,Bonuses,270
Company A,2025,Q3,Budget,Administrative Expenses,Bonuses,270
Company A,2025,Q4,Budget,Administrative Expenses,Bonuses,270
Company A,2023,Q1,Budget,Administrative Expenses,Utilities,3100
Company A,2023,Q2,Budget,Administrative Expenses,Utilities,3100
Company A,2023,Q3,Budget,Administrative Expenses,Utilities,3100
Company A,2023,Q4,Budget,Administrative Expenses,Utilities,3100
Company A,2024,Q1,Budget,Administrative Expenses,Utilities,4500
Company A,2024,Q2,Budget,Administrative Expenses,Utilities,4500
Company A,2024,Q3,Budget,Administrative Expenses,Utilities,4500
Company A,2024,Q4,Budget,Administrative Expenses,Utilities,4500
Company A,2025,Q1,Budget,Administrative Expenses,Utilities,5300
Company A,2025,Q2,Budget,Administrative Expenses,Utilities,5900
Company A,2025,Q3,Budget,Administrative Expenses,Utilities,6200
Company A,2025,Q4,Budget,Administrative Expenses,Utilities,6900
Company A,2023,Q1,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2023,Q2,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2023,Q3,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2023,Q4,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2024,Q1,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2024,Q2,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2024,Q3,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2024,Q4,Budget,Administrative Expenses,Internet & Comunication,140
Company A,2025,Q1,Budget,Administrative Expenses,Internet & Comunication,160
Company A,2025,Q2,Budget,Administrative Expenses,Internet & Comunication,160.5521975
Company A,2025,Q3,Budget,Administrative Expenses,Internet & Comunication,160.5521975
Company A,2025,Q4,Budget,Administrative Expenses,Internet & Comunication,160.5521975
Company A,2023,Q1,Budget,Administrative Expenses,IT Servise,450
Company A,2023,Q2,Budget,Administrative Expenses,IT Servise,450
Company A,2023,Q3,Budget,Administrative Expenses,IT Servise,450
Company A,2023,Q4,Budget,Administrative Expenses,IT Servise,450
Company A,2024,Q1,Budget,Administrative Expenses,IT Servise,550
