CompanyName,Year,Quarter,ScenarioName,DirectionName,Volume,Price,RevenueAmount,VolumeUnit
Company A,2023,Q1,Budget,Business Line A,500,73,36500,ths.m2
Company A,2023,Q2,Budget,Business Line A,750,73,54750,ths.m2
Company A,2023,Q3,Budget,Business Line A,700,73,51100,ths.m2
Company A,2023,Q4,Budget,Business Line A,300,74,22200,ths.m2
Company A,2024,Q1,Budget,Business Line A,850,75,63750,ths.m2
Company A,2024,Q2,Budget,Business Line A,1000,75,75000,ths.m2
Company A,2024,Q3,Budget,Business Line A,690,77,53130,ths.m2
Company A,2024,Q4,Budget,Business Line A,300,77,23100,ths.m2
Company A,2025,Q1,Budget,Business Line A,800,77,61600,ths.m2
Company A,2025,Q2,Budget,Business Line A,950,82,77900,ths.m2
Company A,2025,Q3,Budget,Business Line A,780,82,63960,ths.m2
Company A,2025,Q4,Budget,Business Line A,780,82,63960,ths.m2
Company A,2023,Q1,Budget,Business Line B,200,210,42000,ths.m2
Company A,2023,Q2,Budget,Business Line B,200,210,42000,ths.m2
Company A,2023,Q3,Budget,Business Line B,150,230,34500,ths.m2
Company A,2023,Q4,Budget,Business Line B,70,230,16100,ths.m2
Company A,2024,Q1,Budget,Business Line B,130,230,29900,ths.m2
Company A,2024,Q2,Budget,Business Line B,200,230,46000,ths.m2
Company A,2024,Q3,Budget,Business Line B,110,240,26400,ths.m2
Company A,2024,Q4,Budget,Business Line B,90,240,21600,ths.m2
Company A,2025,Q1,Budget,Business Line B,150,240,36000,ths.m2
Company A,2025,Q2,Budget,Business Line B,200,240,48000,ths.m2
Company A,2025,Q3,Budget,Business Line B,110,240,26400,ths.m2
Company A,2025,Q4,Budget,Business Line B,110,240,26400,ths.m2
Company A,2023,Q1,Budget,Business Line C,10000,14.5,145000,ths.m2
Company A,2023,Q2,Budget,Business Line C,12000,14.5,174000,ths.m2
Company A,2023,Q3,Budget,Business Line C,12000,14.5,174000,ths.m2
Company A,2023,Q4,Budget,Business Line C,12000,14.5,174000,ths.m2
Company A,2024,Q1,Budget,Business Line C,12000,16,192000,ths.m2
Company A,2024,Q2,Budget,Business Line C,10000,16,160000,ths.m2
