CompanyName,Year,Quarter,ScenarioName,IndicatorName,Amount
Company A,2023,Q1,Budget,Opening Cash Balance,7024.234265
Company A,2023,Q2,Budget,Opening Cash Balance,23701.58479
Company A,2023,Q3,Budget,Opening Cash Balance,60413.44689
Company A,2023,Q4,Budget,Opening Cash Balance,96025.37016
Company A,2024,Q1,Budget,Opening Cash Balance,47391.71756
Company A,2024,Q2,Budget,Opening Cash Balance,44739.78684
Company A,2024,Q3,Budget,Opening Cash Balance,56717.22007
Company A,2024,Q4,Budget,Opening Cash Balance,72956.37264
Company A,2025,Q1,Budget,Opening Cash Balance,89241.51857
Company A,2025,Q2,Budget,Opening Cash Balance,113720.176
Company A,2025,Q3,Budget,Opening Cash Balance,139954.3167
Company A,2025,Q4,Budget,Opening Cash Balance,179505.9625
Company A,2023,Q1,Budget,Revenue (excl. VAT),244470
Company A,2023,Q2,Budget,Revenue (excl. VAT),300660
Company A,2023,Q3,Budget,Revenue (excl. VAT),292050
Company A,2023,Q4,Budget,Revenue (excl. VAT),246890
Company A,2024,Q1,Budget,Revenue (excl. VAT),324700
Company A,2024,Q2,Budget,Revenue (excl. VAT),319750
Company A,2024,Q3,Budget,Revenue (excl. VAT),309380
Company A,2024,Q4,Budget,Revenue (excl. VAT),208750
Company A,2025,Q1,Budget,Revenue (excl. VAT),357830
Company A,2025,Q2,Budget,Revenue (excl. VAT),430940
Company A,2025,Q3,Budget,Revenue (excl. VAT),325510
Company A,2025,Q4,Budget,Revenue (excl. VAT),325810
Company A,2023,Q1,Budget,COGS (excl.VAT),169065
Company A,2023,Q2,Budget,COGS (excl.VAT),207024.2
Company A,2023,Q3,Budget,COGS (excl.VAT),199015
Company A,2023,Q4,Budget,COGS (excl.VAT),163005
Company A,2024,Q1,Budget,COGS (excl.VAT),212520
Company A,2024,Q2,Budget,COGS (excl.VAT),212230
Company A,2024,Q3,Budget,COGS (excl.VAT),193744
Company A,2024,Q4,Budget,COGS (excl.VAT),130211
Company A,2025,Q1,Budget,COGS (excl.VAT),212044
Company A,2025,Q2,Budget,COGS (excl.VAT),298372
Company A,2025,Q3,Budget,COGS (excl.VAT),221012
Company A,2025,Q4,Budget,COGS (excl.VAT),186246
Company A,2023,Q1,Budget,Gross Profit,75405
Company A,2023,Q2,Budget,Gross Profit,93635.8
Company A,2023,Q3,Budget,Gross Profit,93035
Company A,2023,Q4,Budget,Gross Profit,83885
Company A,2024,Q1,Budget,Gross Profit,112180
Company A,2024,Q2,Budget,Gross Profit,107520
Company A,2024,Q3,Budget,Gross Profit,115636
Company A,2024,Q4,Budget,Gross Profit,78539
Company A,2025,Q1,Budget,Gross Profit,145786
Company A,2025,Q2,Budget,Gross Profit,132568
Company A,2025,Q3,Budget,Gross Profit,104498
Company A,2025,Q4,Budget,Gross Profit,139564
Company A,2023,Q1,Budget,Other Operating Income,10000
Company A,2023,Q2,Budget,Other Operating Income,10000
Company A,2023,Q3,Budget,Other Operating Income,10000
Company A,2023,Q4,Budget,Other Operating Income,10000
Company A,2024,Q1,Budget,Other Operating Income,15000
Company A,2024,Q2,Budget,Other Operating Income,15000
Company A,2024,Q3,Budget,Other Operating Income,15000
Company A,2024,Q4,Budget,Other Operating Income,15000
Company A,2025,Q1,Budget,Other Operating Income,18000
Company A,2025,Q2,Budget,Other Operating Income,18000
Company A,2025,Q3,Budget,Other Operating Income,18000
Company A,2025,Q4,Budget,Other Operating Income,18000
Company A,2023,Q1,Budget,Administrative Expenses,5244.12
Company A,2023,Q2,Budget,Administrative Expenses,5244.12
Company A,2023,Q3,Budget,Administrative Expenses,5244.12
Company A,2023,Q4,Budget,Administrative Expenses,5244.12
Company A,2024,Q1,Budget,Administrative Expenses,6924.12
Company A,2024,Q2,Budget,Administrative Expenses,6924.12
Company A,2024,Q3,Budget,Administrative Expenses,6924.12
Company A,2024,Q4,Budget,Administrative Expenses,6924.12
Company A,2025,Q1,Budget,Administrative Expenses,8094.12
Company A,2025,Q2,Budget,Administrative Expenses,8694.672198
Company A,2025,Q3,Budget,Administrative Expenses,8994.672198
Company A,2025,Q4,Budget,Administrative Expenses,9694.672198
Company A,2023,Q1,Budget,Selling Expenses,21922.2875
Company A,2023,Q2,Budget,Selling Expenses,22154.10835
Company A,2023,Q3,Budget,Selling Expenses,18943.70175
Company A,2023,Q4,Budget,Selling Expenses,16837.41721
Company A,2024,Q1,Budget,Selling Expenses,26185.15735
Company A,2024,Q2,Budget,Selling Expenses,25276.2906
Company A,2024,Q3,Budget,Selling Expenses,20146.90601
Company A,2024,Q4,Budget,Selling Expenses,10927.39068
Company A,2025,Q1,Budget,Selling Expenses,29396.14155
Company A,2025,Q2,Budget,Selling Expenses,27733.6039
Company A,2025,Q3,Budget,Selling Expenses,21275.52771
Company A,2025,Q4,Budget,Selling Expenses,18191.17752
Company A,2023,Q1,Budget,Other Operating Expenses,10000
Company A,2023,Q2,Budget,Other Operating Expenses,10000
Company A,2023,Q3,Budget,Other Operating Expenses,10000
Company A,2023,Q4,Budget,Other Operating Expenses,10000
Company A,2024,Q1,Budget,Other Operating Expenses,10000
Company A,2024,Q2,Budget,Other Operating Expenses,10100
Company A,2024,Q3,Budget,Other Operating Expenses,10100
Company A,2024,Q4,Budget,Other Operating Expenses,10200
Company A,2025,Q1,Budget,Other Operating Expenses,10200
Company A,2025,Q2,Budget,Other Operating Expenses,10200
Company A,2025,Q3,Budget,Other Operating Expenses,10300
Company A,2025,Q4,Budget,Other Operating Expenses,10300
Company A,2023,Q1,Budget,Depreciation,15000
Company A,2023,Q2,Budget,Depreciation,15000
Company A,2023,Q3,Budget,Depreciation,15000
Company A,2023,Q4,Budget,Depreciation,15000
Company A,2024,Q1,Budget,Depreciation,15000
Company A,2024,Q2,Budget,Depreciation,15000
Company A,2024,Q3,Budget,Depreciation,15000
Company A,2024,Q4,Budget,Depreciation,15000
Company A,2025,Q1,Budget,Depreciation,15000
Company A,2025,Q2,Budget,Depreciation,15000
Company A,2025,Q3,Budget,Depreciation,15000
Company A,2025,Q4,Budget,Depreciation,15000
Company A,2023,Q1,Budget,Other Financial Income,0
Company A,2023,Q2,Budget,Other Financial Income,0
Company A,2023,Q3,Budget,Other Financial Income,0
